Image File,Caption,Tokenized Caption,Encoded Tokens
img/insta73,<start> I owe my life to you momma  <end>,"['<start>', 'i', 'owe', 'my', 'life', 'to', 'you', 'momma', '<end>']","[2, 6, 5417, 4, 50, 9, 7, 773, 3]"
img/insta74,<start> studio diva  <end>,"['<start>', 'studio', 'diva', '<end>']","[2, 288, 3554, 3]"
img/insta78,<start> Coachella for the night with T  <end>,"['<start>', 'coachella', 'for', 'the', 'night', 'with', 't', '<end>']","[2, 1037, 15, 5, 26, 13, 601, 3]"
img/insta80,<start> Loving my new Dreamer bag.  <end>,"['<start>', 'loving', 'my', 'new', 'dreamer', 'bag', '.', '<end>']","[2, 322, 4, 23, 2683, 877, 1, 3]"
img/insta81,<start> throw b  <end>,"['<start>', 'throw', 'b', '<end>']","[2, 1504, 602, 3]"
img/insta84,<start> familia  <end>,"['<start>', 'familia', '<end>']","[2, 878, 3]"
img/insta85,<start> I Can’t Get Enough is out now! Link in bio  <end>,"['<start>', 'i', 'can', '’', 't', 'get', 'enough', 'is', 'out', 'now', '!', 'link', 'in', 'bio', '<end>']","[2, 6, 101, 1, 601, 64, 1742, 18, 30, 45, 133, 135, 10, 142, 3]"
img/insta86,<start> Back on set with Always in my Cali.  <end>,"['<start>', 'back', 'on', 'set', 'with', 'always', 'in', 'my', 'cali', '.', '<end>']","[2, 51, 17, 204, 13, 69, 10, 4, 720, 1, 3]"
img/insta107,<start> randoms and film.  <end>,"['<start>', 'randoms', 'and', 'film', '.', '<end>']","[2, 3555, 12, 955, 1, 3]"
img/insta108,<start> life  <end>,"['<start>', 'life', '<end>']","[2, 50, 3]"
img/insta113,<start> Striking a pose in the new Defy Mid.  <end>,"['<start>', 'striking', 'a', 'pose', 'in', 'the', 'new', 'defy', 'mid', '.', '<end>']","[2, 5418, 8, 567, 10, 5, 23, 3556, 3557, 1, 3]"
img/insta121,<start> Introducing DEFY- my latest campaign with  <end>,"['<start>', 'introducing', 'defy-', 'my', 'latest', 'campaign', 'with', '<end>']","[2, 2118, 5419, 4, 5420, 879, 13, 3]"
img/insta123,<start> You’re stuck in my head and I can’t get you out of it.  <end>,"['<start>', 'you', '’', 're', 'stuck', 'in', 'my', 'head', 'and', 'i', 'can', '’', 't', 'get', 'you', 'out', 'of', 'it', '.', '<end>']","[2, 7, 1, 11186, 1163, 10, 4, 369, 12, 6, 101, 1, 601, 64, 7, 30, 19, 20, 1, 3]"
img/insta124,<start> I wanna hold you when I’m not supposed to...  <end>,"['<start>', 'i', 'wan', 'na', 'hold', 'you', 'when', 'i', '’', 'm', 'not', 'supposed', 'to', '...', '<end>']","[2, 6, 1, 3465, 500, 7, 57, 6, 1, 976, 84, 2119, 9, 1, 3]"
img/insta131,<start> Photo wall opportunity with the Parker bag  <end>,"['<start>', 'photo', 'wall', 'opportunity', 'with', 'the', 'parker', 'bag', '<end>']","[2, 108, 1505, 3558, 13, 5, 2117, 877, 3]"
img/insta137,"<start> Protect kids, not guns!  <end>","['<start>', 'protect', 'kids', ',', 'not', 'guns', '!', '<end>']","[2, 2684, 523, 1, 84, 3318, 133, 3]"
img/insta150,<start> all apologies  <end>,"['<start>', 'all', 'apologies', '<end>']","[2, 32, 5422, 3]"
img/insta151,<start> i stole from my sister  <end>,"['<start>', 'i', 'stole', 'from', 'my', 'sister', '<end>']","[2, 6, 774, 52, 4, 124, 3]"
img/insta155,<start> so i am blonde now  <end>,"['<start>', 'so', 'i', 'am', 'blonde', 'now', '<end>']","[2, 24, 6, 240, 289, 45, 3]"
img/insta156,<start> Looked for love in every stranger  <end>,"['<start>', 'looked', 'for', 'love', 'in', 'every', 'stranger', '<end>']","[2, 956, 15, 11, 10, 408, 5423, 3]"
img/insta157,<start> Tonight  <end>,"['<start>', 'tonight', '<end>']","[2, 66, 3]"
img/insta158,<start> American Music Awards  <end>,"['<start>', 'american', 'music', 'awards', '<end>']","[2, 568, 409, 524, 3]"
img/insta161,<start> Wolves   <end>,"['<start>', 'wolves', '<end>']","[2, 2120, 3]"
img/insta162,<start> been crying with the wolves to get to you  <end>,"['<start>', 'been', 'crying', 'with', 'the', 'wolves', 'to', 'get', 'to', 'you', '<end>']","[2, 252, 1506, 13, 5, 2120, 9, 64, 9, 7, 3]"
img/insta165,<start> Wolves is out now!   <end>,"['<start>', 'wolves', 'is', 'out', 'now', '!', '<end>']","[2, 2120, 18, 30, 45, 133, 3]"
img/insta173,<start> Momma and I  <end>,"['<start>', 'momma', 'and', 'i', '<end>']","[2, 773, 12, 6, 3]"
img/insta174,<start> Join all of us right now!!! and on -we are one  <end>,"['<start>', 'join', 'all', 'of', 'us', 'right', 'now', '!', '!', '!', 'and', 'on', '-we', 'are', 'one', '<end>']","[2, 1164, 32, 19, 109, 119, 45, 133, 133, 133, 12, 17, 5424, 43, 56, 3]"
img/insta175,<start> Officially a part of the fam  <end>,"['<start>', 'officially', 'a', 'part', 'of', 'the', 'fam', '<end>']","[2, 1038, 8, 425, 19, 5, 268, 3]"
img/insta189,<start> My people  <end>,"['<start>', 'my', 'people', '<end>']","[2, 4, 202, 3]"
img/insta190,<start> My Petra   <end>,"['<start>', 'my', 'petra', '<end>']","[2, 4, 5425, 3]"
img/insta192,"<start> I'm not surprised, I sympathize.  <end>","['<start>', 'i', ""'m"", 'not', 'surprised', ',', 'i', 'sympathize', '.', '<end>']","[2, 6, 1, 84, 1507, 1, 6, 5426, 1, 3]"
img/insta199,<start> FETISH  <end>,"['<start>', 'fetish', '<end>']","[2, 5427, 3]"
img/insta203,<start> family  <end>,"['<start>', 'family', '<end>']","[2, 91, 3]"
img/insta205,<start> Badliar ---  <end>,"['<start>', 'badliar', '--', '-', '<end>']","[2, 5428, 10444, 148, 3]"
img/insta207,<start>  thanks for watching the music video  <end>,"['<start>', 'thanks', 'for', 'watching', 'the', 'music', 'video', '<end>']","[2, 68, 15, 195, 5, 409, 196, 3]"
img/insta208,<start> Bad Liar video   <end>,"['<start>', 'bad', 'liar', 'video', '<end>']","[2, 301, 1508, 196, 3]"
img/insta209,<start> Bad Liar with the all time brilliant Jesse Peretz  <end>,"['<start>', 'bad', 'liar', 'with', 'the', 'all', 'time', 'brilliant', 'jesse', 'peretz', '<end>']","[2, 301, 1508, 13, 5, 32, 42, 2121, 5430, 5431, 3]"
img/insta210,<start> Bad Liar music video is out by the way   <end>,"['<start>', 'bad', 'liar', 'music', 'video', 'is', 'out', 'by', 'the', 'way', '<end>']","[2, 301, 1508, 409, 196, 18, 30, 28, 5, 110, 3]"
img/insta211,<start> - a film  <end>,"['<start>', '-', 'a', 'film', '<end>']","[2, 148, 8, 955, 3]"
img/insta212,<start> Coming soon  <end>,"['<start>', 'coming', 'soon', '<end>']","[2, 120, 136, 3]"
img/insta216,<start> NY  <end>,"['<start>', 'ny', '<end>']","[2, 479, 3]"
img/insta221,<start> date night  <end>,"['<start>', 'date', 'night', '<end>']","[2, 220, 26, 3]"
img/insta236,<start> Because it should be fun and truly authentic my crew   <end>,"['<start>', 'because', 'it', 'should', 'be', 'fun', 'and', 'truly', 'authentic', 'my', 'crew', '<end>']","[2, 501, 20, 323, 41, 89, 12, 1509, 5432, 4, 261, 3]"
img/insta241,<start> always playing and working on something magical   <end>,"['<start>', 'always', 'playing', 'and', 'working', 'on', 'something', 'magical', '<end>']","[2, 69, 463, 12, 371, 17, 775, 1039, 3]"
img/insta247,<start> Wearing for !!  <end>,"['<start>', 'wearing', 'for', '!', '!', '<end>']","[2, 276, 15, 133, 133, 3]"
img/insta256,<start> Proud of my trainers husband cause he's goals for real  <end>,"['<start>', 'proud', 'of', 'my', 'trainers', 'husband', 'cause', 'he', ""'s"", 'goals', 'for', 'real', '<end>']","[2, 290, 19, 4, 5433, 2122, 812, 161, 437, 880, 15, 166, 3]"
img/insta260,<start> I have a full crush on  <end>,"['<start>', 'i', 'have', 'a', 'full', 'crush', 'on', '<end>']","[2, 6, 82, 8, 439, 3559, 17, 3]"
img/insta262,<start> Morning walks  <end>,"['<start>', 'morning', 'walks', '<end>']","[2, 55, 1510, 3]"
img/insta267,<start> My boy   <end>,"['<start>', 'my', 'boy', '<end>']","[2, 4, 174, 3]"
img/insta272,<start> My world   <end>,"['<start>', 'my', 'world', '<end>']","[2, 4, 188, 3]"
img/insta273,<start> I love you  <end>,"['<start>', 'i', 'love', 'you', '<end>']","[2, 6, 11, 7, 3]"
img/insta277,<start> Vente pa' ca  <end>,"['<start>', 'vente', 'pa', ""'"", 'ca', '<end>']","[2, 5434, 3634, 5223, 2123, 3]"
img/insta281,<start> One of my favorite nights on tour  <end>,"['<start>', 'one', 'of', 'my', 'favorite', 'nights', 'on', 'tour', '<end>']","[2, 56, 19, 4, 126, 231, 17, 95, 3]"
img/insta282,<start> My entire heart  <end>,"['<start>', 'my', 'entire', 'heart', '<end>']","[2, 4, 1743, 165, 3]"
img/insta284,<start> My love and I  <end>,"['<start>', 'my', 'love', 'and', 'i', '<end>']","[2, 4, 11, 12, 6, 3]"
img/insta285,<start> Nobody loves me like you do   <end>,"['<start>', 'nobody', 'loves', 'me', 'like', 'you', 'do', '<end>']","[2, 776, 232, 14, 37, 7, 65, 3]"
img/insta286,<start>  in  <end>,"['<start>', 'in', '<end>']","[2, 10, 3]"
img/insta287,<start> My first cover came out -thank you so much! So grateful  <end>,"['<start>', 'my', 'first', 'cover', 'came', 'out', '-thank', 'you', 'so', 'much', '!', 'so', 'grateful', '<end>']","[2, 4, 132, 111, 314, 30, 5436, 7, 24, 79, 133, 24, 566, 3]"
img/insta288,<start> Japan  <end>,"['<start>', 'japan', '<end>']","[2, 372, 3]"
img/insta290,<start> my girlies  -too many stories  <end>,"['<start>', 'my', 'girlies', '-too', 'many', 'stories', '<end>']","[2, 4, 2685, 5437, 440, 2124, 3]"
img/insta291,<start> the boys   <end>,"['<start>', 'the', 'boys', '<end>']","[2, 5, 118, 3]"
img/insta292,<start> -grateful  <end>,"['<start>', '-grateful', '<end>']","[2, 5438, 3]"
img/insta293,<start> Singapore  <end>,"['<start>', 'singapore', '<end>']","[2, 1314, 3]"
img/insta296,"<start> KL, from the car  <end>","['<start>', 'kl', ',', 'from', 'the', 'car', '<end>']","[2, 5439, 1, 52, 5, 480, 3]"
img/insta297,<start> Beautiful people   <end>,"['<start>', 'beautiful', 'people', '<end>']","[2, 86, 202, 3]"
img/insta300,<start> focus  <end>,"['<start>', 'focus', '<end>']","[2, 882, 3]"
img/insta301,<start> when your lyrics are on the bottle   <end>,"['<start>', 'when', 'your', 'lyrics', 'are', 'on', 'the', 'bottle', '<end>']","[2, 57, 49, 2686, 43, 17, 5, 2687, 3]"
img/insta303,<start> a few of my favs from our fam   <end>,"['<start>', 'a', 'few', 'of', 'my', 'favs', 'from', 'our', 'fam', '<end>']","[2, 8, 688, 19, 4, 2125, 52, 76, 268, 3]"
img/insta306,<start> preshow  <end>,"['<start>', 'preshow', '<end>']","[2, 5440, 3]"
img/insta307,<start> My godson watching his tia on stage -happy fathers day  <end>,"['<start>', 'my', 'godson', 'watching', 'his', 'tia', 'on', 'stage', '-happy', 'fathers', 'day', '<end>']","[2, 4, 2688, 195, 134, 3560, 17, 883, 5441, 2689, 36, 3]"
img/insta308,<start> Checking  <end>,"['<start>', 'checking', '<end>']","[2, 1744, 3]"
img/insta310,"<start> Atlanta, GA  <end>","['<start>', 'atlanta', ',', 'ga', '<end>']","[2, 1745, 1, 3561, 3]"
img/insta314,<start> Brooklyn  <end>,"['<start>', 'brooklyn', '<end>']","[2, 1166, 3]"
img/insta315,<start> Brooklyn babies! Sorry I couldn't get everyone in   <end>,"['<start>', 'brooklyn', 'babies', '!', 'sorry', 'i', 'could', ""n't"", 'get', 'everyone', 'in', '<end>']","[2, 1166, 199, 133, 478, 6, 334, 1, 64, 271, 10, 3]"
img/insta316,<start> arena vibes  <end>,"['<start>', 'arena', 'vibes', '<end>']","[2, 2690, 163, 3]"
img/insta317,<start> When I see my new costumes for stage -comin sooooon   <end>,"['<start>', 'when', 'i', 'see', 'my', 'new', 'costumes', 'for', 'stage', '-comin', 'sooooon', '<end>']","[2, 57, 6, 70, 4, 23, 3562, 15, 883, 5442, 3563, 3]"
img/insta318,<start> Boston -you guys were LOUD   <end>,"['<start>', 'boston', '-you', 'guys', 'were', 'loud', '<end>']","[2, 1315, 5443, 123, 179, 1316, 3]"
img/insta319,<start> Toronto.  <end>,"['<start>', 'toronto', '.', '<end>']","[2, 1036, 1, 3]"
img/insta321,"<start> London, Ontario   <end>","['<start>', 'london', ',', 'ontario', '<end>']","[2, 186, 1, 5444, 3]"
img/insta322,"<start> Ottawa, Canada -sick sick sick night  love you guys  <end>","['<start>', 'ottawa', ',', 'canada', '-sick', 'sick', 'sick', 'night', 'love', 'you', 'guys', '<end>']","[2, 3564, 1, 1511, 5445, 603, 603, 26, 11, 7, 123, 3]"
img/insta324,<start> My littles. Saskatoon lovin  <end>,"['<start>', 'my', 'littles', '.', 'saskatoon', 'lovin', '<end>']","[2, 4, 1746, 1, 2691, 1317, 3]"
img/insta325,<start> s'mores  <end>,"['<start>', ""s'mores"", '<end>']","[2, 5446, 3]"
img/insta326,<start> restock the bus -grocery shopping in Saskatoon  <end>,"['<start>', 'restock', 'the', 'bus', '-grocery', 'shopping', 'in', 'saskatoon', '<end>']","[2, 2692, 5, 885, 5447, 604, 10, 2691, 3]"
img/insta329,<start> Walks through Calgary  <end>,"['<start>', 'walks', 'through', 'calgary', '<end>']","[2, 1510, 481, 5448, 3]"
img/insta330,"<start> Got you Edmonton, Canada  <end>","['<start>', 'got', 'you', 'edmonton', ',', 'canada', '<end>']","[2, 63, 7, 2127, 1, 1511, 3]"
img/insta331,<start> TONIGHT   <end>,"['<start>', 'tonight', '<end>']","[2, 66, 3]"
img/insta332,"<start> Vancouver, Canada was LIT  <end>","['<start>', 'vancouver', ',', 'canada', 'was', 'lit', '<end>']","[2, 1512, 1, 1511, 73, 640, 3]"
img/insta333,"<start> Seattle, WA  <end>","['<start>', 'seattle', ',', 'wa', '<end>']","[2, 1513, 1, 5449, 3]"
img/insta335,"<start> San Jose, CA  <end>","['<start>', 'san', 'jose', ',', 'ca', '<end>']","[2, 692, 2128, 1, 2123, 3]"
img/insta337,"<start> Sacramento, CA  <end>","['<start>', 'sacramento', ',', 'ca', '<end>']","[2, 2693, 1, 2123, 3]"
img/insta339,<start> After my first show in Vegas.   <end>,"['<start>', 'after', 'my', 'first', 'show', 'in', 'vegas', '.', '<end>']","[2, 197, 4, 132, 104, 10, 250, 1, 3]"
img/insta340,<start> My cover for Thank you to everyone involved!  <end>,"['<start>', 'my', 'cover', 'for', 'thank', 'you', 'to', 'everyone', 'involved', '!', '<end>']","[2, 4, 111, 15, 27, 7, 9, 271, 11760, 133, 3]"
img/insta341,"<start> Just like the last tour.. nothing's changed. Fresno, CA  <end>","['<start>', 'just', 'like', 'the', 'last', 'tour', '..', 'nothing', ""'s"", 'changed', '.', 'fresno', ',', 'ca', '<end>']","[2, 31, 37, 5, 60, 95, 1, 315, 437, 1514, 1, 5452, 1, 2123, 3]"
img/insta342,<start> night 2   <end>,"['<start>', 'night', '2', '<end>']","[2, 26, 93, 3]"
img/insta344,<start> first show/tomorrow  <end>,"['<start>', 'first', 'show/tomorrow', '<end>']","[2, 132, 5453, 3]"
img/insta346,<start> when the crew come together for and  <end>,"['<start>', 'when', 'the', 'crew', 'come', 'together', 'for', 'and', '<end>']","[2, 57, 5, 261, 172, 605, 15, 12, 3]"
img/insta347,<start> After we finish a show and don't mess it up  <end>,"['<start>', 'after', 'we', 'finish', 'a', 'show', 'and', 'do', ""n't"", 'mess', 'it', 'up', '<end>']","[2, 197, 34, 2694, 8, 104, 12, 65, 1, 1318, 20, 29, 3]"
img/insta348,<start> Behind the scenes of //tour content  <end>,"['<start>', 'behind', 'the', 'scenes', 'of', '//tour', 'content', '<end>']","[2, 464, 5, 569, 19, 5454, 2129, 3]"
img/insta349,<start> Tour rehearsals  <end>,"['<start>', 'tour', 'rehearsals', '<end>']","[2, 95, 957, 3]"
img/insta358,<start> Love you  <end>,"['<start>', 'love', 'you', '<end>']","[2, 11, 7, 3]"
img/insta362,<start> sweets  <end>,"['<start>', 'sweets', '<end>']","[2, 3565, 3]"
img/insta368,"<start> tb to a sweet, small house in TX  <end>","['<start>', 'tb', 'to', 'a', 'sweet', ',', 'small', 'house', 'in', 'tx', '<end>']","[2, 1167, 9, 8, 212, 1, 1515, 383, 10, 5455, 3]"
img/insta369,<start> We have waited our whole lives for this   <end>,"['<start>', 'we', 'have', 'waited', 'our', 'whole', 'lives', 'for', 'this', '<end>']","[2, 34, 82, 2695, 76, 570, 1516, 15, 16, 3]"
img/insta370,<start> Papa   <end>,"['<start>', 'papa', '<end>']","[2, 1517, 3]"
img/insta371,<start> this -wishing I was with and right now  <end>,"['<start>', 'this', '-wishing', 'i', 'was', 'with', 'and', 'right', 'now', '<end>']","[2, 16, 5456, 6, 73, 13, 12, 119, 45, 3]"
img/insta372,<start> Words can't describe how much I love this one right here  <end>,"['<start>', 'words', 'ca', ""n't"", 'describe', 'how', 'much', 'i', 'love', 'this', 'one', 'right', 'here', '<end>']","[2, 721, 2123, 1, 2696, 77, 79, 6, 11, 16, 56, 119, 100, 3]"
img/insta374,<start> It's that time again- I love my family   <end>,"['<start>', 'it', ""'s"", 'that', 'time', 'again-', 'i', 'love', 'my', 'family', '<end>']","[2, 20, 437, 61, 42, 5457, 6, 11, 4, 91, 3]"
img/insta375,<start> It's fun to look cool sometimes  <end>,"['<start>', 'it', ""'s"", 'fun', 'to', 'look', 'cool', 'sometimes', '<end>']","[2, 20, 437, 89, 9, 54, 198, 571, 3]"
img/insta377,<start> We made it Paris  <end>,"['<start>', 'we', 'made', 'it', 'paris', '<end>']","[2, 34, 157, 20, 160, 3]"
img/insta378,<start> Prepping for  <end>,"['<start>', 'prepping', 'for', '<end>']","[2, 5458, 15, 3]"
img/insta380,<start> Family  <end>,"['<start>', 'family', '<end>']","[2, 91, 3]"
img/insta382,<start> this is what was shining most -so proud of you Tay   <end>,"['<start>', 'this', 'is', 'what', 'was', 'shining', 'most', '-so', 'proud', 'of', 'you', 'tay', '<end>']","[2, 16, 18, 46, 73, 2697, 236, 5459, 290, 19, 7, 1518, 3]"
img/insta383,<start> last night was fun  <end>,"['<start>', 'last', 'night', 'was', 'fun', '<end>']","[2, 60, 26, 73, 89, 3]"
img/insta385,<start> throwback -swag  <end>,"['<start>', 'throwback', '-swag', '<end>']","[2, 158, 5460, 3]"
img/insta386,<start> rp -facts  <end>,"['<start>', 'rp', '-facts', '<end>']","[2, 1040, 5461, 3]"
img/insta391,<start> when they play your song at the club  <end>,"['<start>', 'when', 'they', 'play', 'your', 'song', 'at', 'the', 'club', '<end>']","[2, 57, 128, 340, 49, 465, 22, 5, 722, 3]"
img/insta392,"<start> your embrace is everything to me -hi, just love you guys  <end>","['<start>', 'your', 'embrace', 'is', 'everything', 'to', 'me', '-hi', ',', 'just', 'love', 'you', 'guys', '<end>']","[2, 49, 3566, 18, 253, 9, 14, 5462, 1, 31, 11, 7, 123, 3]"
img/insta393,<start> Are we in the clear yet?  <end>,"['<start>', 'are', 'we', 'in', 'the', 'clear', 'yet', '?', '<end>']","[2, 43, 34, 10, 5, 3567, 1048, 412, 3]"
img/insta394,<start> love them  <end>,"['<start>', 'love', 'them', '<end>']","[2, 11, 302, 3]"
img/insta395,<start> Happy bday Orly -celebrate kindness and who you are  <end>,"['<start>', 'happy', 'bday', 'orly', '-celebrate', 'kindness', 'and', 'who', 'you', 'are', '<end>']","[2, 21, 324, 5463, 5464, 3569, 12, 94, 7, 43, 3]"
img/insta398,<start> just discussing  <end>,"['<start>', 'just', 'discussing', '<end>']","[2, 31, 5465, 3]"
img/insta400,<start> nothing makes my heart happier -my boys. For life  <end>,"['<start>', 'nothing', 'makes', 'my', 'heart', 'happier', '-my', 'boys', '.', 'for', 'life', '<end>']","[2, 315, 502, 4, 165, 1519, 5466, 118, 1, 15, 50, 3]"
img/insta402,<start> that one time we went to jail  <end>,"['<start>', 'that', 'one', 'time', 'we', 'went', 'to', 'jail', '<end>']","[2, 61, 56, 42, 34, 641, 9, 3570, 3]"
img/insta403,<start> ready for you  <end>,"['<start>', 'ready', 'for', 'you', '<end>']","[2, 96, 15, 7, 3]"
img/insta406,<start> tb  <end>,"['<start>', 'tb', '<end>']","[2, 1167, 3]"
img/insta409,<start> -tomorrow  <end>,"['<start>', '-tomorrow', '<end>']","[2, 5467, 3]"
img/insta411,<start> MY godson   <end>,"['<start>', 'my', 'godson', '<end>']","[2, 4, 2688, 3]"
